Pair,p-value,Half-Life (days)
BBY-DAY,0.003749932179267,37.59247887849815
BRK.B-CEG,0.0077006210054851,37.73294466671856
CARR-HPE,0.022909160425016,37.82248126280686
MAR-CBOE,2.639863303028536e-06,38.01920830553234
DELL-WSM,0.0435486154734955,38.36701703066499
OTIS-PANW,0.0261783029838384,38.41242035565394
CARR-J,0.0353564386241303,38.54659494119254
TSLA-DDOG,0.0196400846858809,38.603020336251305
AVGO-AXON,0.0008937192865111,38.628162079520216
MSFT-MPWR,5.218735408778945e-07,38.65722511522249
TTD-TXN,0.0056095400710523,38.66882434414112
IR-PHM,0.0079040778016935,38.749750557549866
ORLY-PANW,0.0004385610782608,38.84964420473775
APO-ANET,0.028462669482635,38.910586335935655
NTRS-CFG,0.0019937273841983,39.00710861193188
PH-ANET,0.0036539799440034,39.01365435288762
ITW-TTD,0.003247647696004,39.13747848082652
TTD-MAS,0.0014697612646872,39.1870167425363
CARR-SPG,0.0249319881717862,39.25684141595071
CARR-BR,0.0416296433159112,39.27330100142506
MA-VRSK,6.607956680640998e-08,39.35473007768586
WTW-CRWD,0.0194554136475198,39.48052102521381
URI-PANW,0.0017893778323771,39.48914009503647
AJG-PANW,0.0019529043998037,39.52157755841057
IR-DECK,0.0042503812884878,39.53010032480724
IR-PANW,0.0030292001230141,39.54987341985474
CTAS-HLT,8.869760310344839e-05,39.60576606646204
DDOG-EFX,0.0274989846703087,39.74849778990705
DELL-SYK,0.0113022248447938,39.80902054273891
VRSK-ADI,0.001470711447428,39.87435859482366
BKNG-ANET,0.0024009986017512,39.88169798454204
ETR-FOXA,0.0274872811865793,39.89382929373293
ETR-FOX,0.0183798624055706,40.04137413657968
RMD-PODD,0.0006404006387171,40.06155236182772
ZTS-POOL,0.0302088782323599,40.15699971940023
WST-POOL,3.4610996499287e-06,40.18441564041669
TTD-CHD,0.0018978540937234,40.243123195090924
EQIX-TTD,0.0016485531811722,40.36396060827811
AAPL-CARR,0.0413023164132371,40.39735443220664
HD-TTD,0.0033983733927285,40.405229079816316
NI-FOXA,0.0381084741438367,40.43843424412318
IQV-INVH,0.0051010667854153,40.49585777244523
SHW-TYL,1.0849689124133666e-10,40.58518424945283
COR-PANW,0.0015043828874531,40.621107870531155
COST-HLT,0.0004589403779511,40.69872046493758
TTD-QCOM,0.004586855632146,40.721076614895885
MA-CRWD,0.022734770263835,40.76274630480048
PG-TTD,0.005031551375468,40.818832514842214
TRV-ANET,0.0008735765708679,40.9044286797301
TTD-DOV,0.0039041072228361,40.91199600157516
AVGO-HWM,0.0123949377913936,40.926185918299865
CARR-ISRG,0.0245682597351751,41.04507665689755
MDLZ-CDW,0.000105995144528,41.14917345294126
MU-CRWD,0.0209448750818382,41.24529874485214
OTIS-CB,0.0423802066897822,41.24684187930145
INVH-DHR,0.006761929765142,41.250748081522566
HLT-TRV,0.0042128227380624,41.251946167389086
PCAR-IR,0.0333037374316612,41.26146729331965
CARR-UHS,0.0399085222847646,41.317596593197315
NXPI-EFX,7.547359739262858e-05,41.441316044161425
EMR-CRWD,0.0130780330985475,41.44288681257232
PNR-NWS,0.0001077693758078,41.48164508885903
TGT-MRNA,0.0093748035674538,41.573178974869386
HLT-PANW,0.0150105071177977,41.70819899014345
PLD-ZTS,0.0011300208605695,41.723858656684776
PH-PANW,0.0027128475631267,41.778222846644816
KMI-FOX,0.0271029705657917,41.83278246605985
NOC-CTVA,0.0276491425689219,41.875326604688915
FOX-WELL,0.0180192672734321,41.89365432179958
DHI-MPWR,3.230790853195614e-05,41.93944641150593
FAST-CRWD,0.027421173313347,41.98675964870755
OTIS-UHS,0.0328323487221592,42.19964526549983
V-WTW,0.0003392979348389,42.287810709847555
CARR-HIG,0.0320160214535397,42.29003774628238
PLD-INVH,0.0035498656667475,42.29180820727177
HUBB-PANW,0.0009607536393761,42.35758744944357
EW-INVH,0.0079551043095396,42.390543815118164
CARR-PNR,0.0478479651352012,42.40466836076839
FFIV-FOXA,0.0152701280370149,42.41545422761466
ICE-CRWD,0.0317408581060844,42.49326653073776
HIG-ANET,0.0001270631446177,42.508663153981246
CEG-WMB,0.0440508086430393,42.51158563537227
TTD-J,0.003505837116321,42.515084523082535
CPRT-OTIS,0.0472401467601779,42.891464040156336
IR-MPWR,0.0029355135977137,42.92623085073557
PYPL-MTCH,0.0341172044235466,42.957679157399305
META-UBER,0.0255562716993376,42.96744823732452
VICI-KEYS,0.0021927423470672,43.023477750365615
RSG-HLT,0.0003932941680552,43.08388100692635
DELL-KLAC,0.0224848282794652,43.194992766246386
LII-UBER,0.0278225780407784,43.51113238983927
MSFT-LRCX,4.9908658685215015e-06,43.53711770719619
MA-DELL,0.0099327415908744,43.596204682370434
VICI-EXPD,0.0099259017723404,43.757918710252206
CDW-EXPD,0.0015303088440115,43.75829113239763
MSI-HLT,0.0038263603751656,43.77992865433003
A-TXN,0.0006166771725441,43.79267786996458
CARR-PANW,0.0316745550681142,43.813762003363614
CL-ANET,0.0145912693088134,43.8672192183697
KMI-FOXA,0.0264855213266458,43.909785264009365
GOOG-ADI,0.0111786862039686,44.0040494020365
WDAY-UNP,0.0001358601761628,44.06327959436068
HBAN-CFG,0.0006959612140347,44.10375400834144
IR-HUBB,0.009164309279751,44.24909798209943
CARR-L,0.030887693008729,44.25100287731192
CL-HLT,0.019581499377132,44.30700468199369
IQV-POOL,0.0479790242340768,44.53787036181667
OTIS-DECK,0.0306308160474257,44.577093262710164
SHW-TTD,0.0039609653372266,44.58826886250411
WTW-SYK,3.853107706501012e-06,44.62901365531053
TTD-TYL,0.0043416609837792,44.822705957165184
HWM-VST,0.013867279690209,44.848863754930726
PLD-IQV,0.0004013084970321,44.86313039866559
CARR-IRM,0.0182409075298015,44.87202733673249
BRK.B-HLT,7.618383952573718e-07,44.90965698405097
LLY-PANW,0.0007134586743715,44.93504425707402
TTD-UNP,0.0068848109187571,45.00138375181187
DELL-CBOE,0.0251510022486314,45.036043626020614
TEL-LH,4.883722071241378e-05,45.12362390708955
MSCI-EXPD,2.4628872300891115e-05,45.21621760688532
CARR-PKG,0.0426327528439568,45.36469113912012
L-ANET,0.0100596152306066,45.385467655909395
ZTS-INVH,0.0359140028934364,45.38716269447982
TTD-ACN,0.017391990805046,45.440386095620504
CSX-TTD,0.0031282013538696,45.57289774478055
OTIS-ACGL,0.0299930181308111,45.61418834614047
GOOG-LRCX,0.0028561502515178,45.63631697123071
META-LII,0.000215191573013,45.66072020226983
GOOG-AMAT,0.0038251504628575,45.71619465874381
MPWR-SNPS,2.410561826866986e-07,45.72836182448324
TTD-TER,0.0105563396676642,45.8729430133219
MCO-CRWD,0.0407797154041457,45.98132882675674
CARR-NWS,0.0246074357358238,46.00030465218578
SQ-KMX,0.005968034290078,46.00283125194469
CZR-CMCSA,0.0065597178515508,46.09157731933318
AZO-PANW,0.001359034413688,46.1248210637662
DELL-ROP,0.0281552610678673,46.324038415813874
DUK-HLT,0.0040465449511436,46.503692861454404
RMD-KEYS,0.011787654976987,46.510563088881796
VICI-WAT,0.0056140376903455,46.533575993654765
ETN-PANW,0.0035602280178172,46.54591907992673
GWW-HUBB,1.2281195186042616e-07,46.59108253798408
INVH-WST,0.0160180638425226,46.69655257147288
IR-PTC,0.0390424062297141,46.748582712105346
URI-ANET,0.023768080169989,46.76061438455843
VICI-TSCO,0.0104832482560742,46.84409431473991
SPGI-CRWD,0.0246318218780694,46.853939151053424
FISV-FICO,0.0396687921935408,46.865953075004725
WTW-UBER,0.0264420808402175,46.92672893966075
EXR-INVH,0.0357377864174617,46.99713690130941
GOOG-NXPI,0.0152389696034329,47.023409395808116
CMG-IR,0.0152610566999391,47.02826330563818
TTD-DVA,0.0218230006103653,47.03560798824807
GDDY-LII,0.0019505816655996,47.06994888288316
CARR-CINF,0.0378498415340685,47.09112486205291
VICI-DGX,0.030217538552088,47.18143649466785
J-CRWD,0.0367695971434666,47.21037966860858
CHD-UNP,1.3895611609036992e-06,47.278912657214065
VST-NI,0.0421661174301682,47.409389262389695
CARR-KKR,0.0470105371855261,47.45718721319653
VICI-MTD,0.006483373429519,47.45953400941441
HLT-KLAC,0.0070627355040304,47.470325880308145
SO-HLT,0.0017779304837982,47.499464207770735
CARR-DVA,0.0476169282667536,47.63095612730537
HLT-ALL,0.0080337972340028,47.70302814866717
WM-DELL,0.0263825605679135,47.72180771263161
PGR-PANW,0.004317170828301,47.72694987568889
DXCM-WST,1.0213527562823095e-05,47.77135181086584
NXPI-TTD,0.011485514927504,47.78271993291028
EW-AWK,2.2738536392590865e-05,47.79036391961761
TROW-CZR,0.0001735750998528,48.00387023581166
SYF-FOXA,0.0299896573465588,48.060611162915286
VICI-HON,0.0148501754541848,48.107025212699234
AFL-PANW,0.0002372650024177,48.14708998194445
GOOG-DOV,0.0035013007496717,48.168597977957155
WDAY-CHD,0.0014906859765416,48.200836200345115
PAYX-LYV,0.0024998667419693,48.20939068126674
MA-UBER,0.0414763080062182,48.258089753042604
VICI-ADI,0.0150566349115005,48.42313778782694
CHTR-KMX,4.0516867768392506e-05,48.49129211056761
TJX-PANW,0.0021670946480647,48.525232120339716
GOOG-MPWR,0.0001589278810178,48.62077627380833
CBOE-ANET,0.0051678279786681,48.63171561807673
PEG-GDDY,0.0020854558433672,48.71772775952523
OTIS-BLDR,0.0446628340634663,48.725349835920426
WEC-KHC,0.0473670689083365,48.845188788011065
IR-ADI,0.0239386120262544,48.89725171348478
RMD-NEE,0.004705892960203,48.95954264458584
DELL-TJX,0.031884332573882,48.9913938850586
MSI-PANW,0.0363580365204134,49.02525940397807
TTD-EXPD,0.0082899103132543,49.06247173028544
TTD-ADI,0.0097224122104635,49.09399541592716
MCHP-CDW,0.0098614914770003,49.22998730330687
NXPI-VMC,0.0089288882343291,49.235528155312544
MPWR-BRO,9.325341690485708e-07,49.3141399628447
PANW-CB,0.0127276643341138,49.325220663160756
ODFL-MOH,9.958432600590932e-05,49.410156810506905
ADSK-ALLE,0.0049746858892503,49.50118906366623
TTD-HOLX,0.0114157725468043,49.54298990512921
GOOG-J,0.0011874751760296,49.55562139312557
WTW-ADI,4.564976153992852e-07,49.607831553327266
MA-WTW,0.0001016980350454,49.60887726988788
XYL-TXN,0.000782940364047,49.614375977576934
V-ROL,0.0002567970702319,49.65812701985201
AFL-ANET,0.0028349049993064,49.676320080035715
TTD-NDSN,0.0154024046878991,49.76574811189736
MPWR-NVR,0.0003360845643162,49.77714082100757
BRK.B-PANW,0.0016338120678228,49.78251266198777
SRE-KEYS,0.0095875742666477,49.83603074607695
ZTS-STE,0.0047044125812114,49.87415816454196
TDG-PANW,0.0062668378760878,50.03977283817939
GOOG-MCO,0.0026262038879075,50.09029477354527
HPE-L,0.0041490493136121,50.21936233292227
ICE-WTW,3.611489889229767e-06,50.27849059395781
INVH-TER,0.0157469948793638,50.351639389874265
LLY-IR,0.0064040915361766,50.42386341172549
CEG-TRGP,0.0328563964685119,50.42538738033978
TTD-SPGI,0.0108522135620353,50.45047512259949
V-BR,0.0002053906258571,50.4899098320634
GOOG-BX,0.0275616616836829,50.59398103273009
PYPL-MDT,0.0095092080123812,50.60186108626802
FOXA-COF,0.0304334887073299,50.60859954839233
AAPL-MPWR,5.940427711815619e-07,50.65867251368731
IQV-EXPD,0.0009206068843956,50.677443384965976
V-SYK,0.0109387102506803,50.68087848297239
CTVA-KR,0.0438658324239435,50.72018391508331
WDAY-NSC,0.000617825272948,50.720368589191736
AVGO-ORCL,0.0009298067649028,50.7267827458857
PHM-PANW,0.0159380902336245,50.84424287667673
GOOG-SHW,0.0001604150172072,50.89010520179511
SO-PANW,0.0020844695486768,50.92542211434307
IQV-AVY,0.0016181516703255,50.94045327016184
MA-ADI,0.0015250625643116,50.94338832783027
MDLZ-VICI,0.0203456190808834,50.94915206987699
PAYX-ADI,3.8491892605241946e-05,51.0466594235594
LH-BLK,0.0041070985656193,51.133509021264516
DPZ-TXN,2.7657992167480985e-05,51.16787704512662
TT-HLT,0.0066951183561176,51.18923509974051
MMC-ADI,8.497088668171656e-05,51.20596571342434
JNJ-KEYS,0.005255281477085,51.34793609022709
GOOG-FAST,0.0004504042546634,51.38743334515032
KMX-CZR,0.0004523304293825,51.503217258852175
TGT-CRL,7.718708778188465e-06,51.5152209186921
LNT-ALLE,0.0036788571860559,51.562692171149315
GOOGL-ADI,0.0019253820226172,51.56892521103729
INVH-TMO,0.0218372108884947,51.57433168027636
RSG-PANW,0.0055599106824962,51.581850843259325
TRV-CBOE,0.0022300884657503,51.58307178675008
KEYS-NEE,0.0057109984555649,51.587684495769246
PPG-CZR,0.0026842489974355,51.59990949340436
TTD-HON,0.0100906683034739,51.630731981155954
DXCM-LULU,0.0030996605333955,51.654941252143736
MCHP-IQV,0.0025583680321215,51.734871485355086
ALLE-HON,0.0196666240544889,51.7353255372039
LDOS-UBER,0.0467762668280422,51.738308113382516
VICI-LH,0.0409743351028372,51.781938885650035
TRV-PANW,0.0140325983939871,51.81035752611073
YUM-VICI,0.0430391530115335,51.83550342874867
TTD-STE,0.0175003792950927,51.85251114118379
KDP-VICI,0.0106721287176509,51.89435847230472
PCAR-PANW,0.0060081587493447,51.94975771615744
ZTS-UNP,0.0010398590751417,52.11566954412683
TGT-TECH,2.556145485155869e-06,52.127749536409844
ZTS-TER,0.0007731521033913,52.13244966533485
VICI-LOW,0.0112743083716962,52.1344375677072
TGT-EPAM,0.0009768095414938,52.14191238277122
BR-SYK,1.2562198231964356e-05,52.145222390925326
WDAY-FTV,0.0098029382840369,52.22937382206359
DPZ-ALLE,0.0008274630742667,52.278992579680605
UHS-ANET,0.0043624879693803,52.290103829232855
VICI-J,0.0216633106979536,52.35089329284236
ALL-GDDY,0.0223971073270543,52.45113812296121
MA-ROL,6.303062561548208e-05,52.451242204094676
URI-KLAC,3.603050449601573e-08,52.48314392902674
ELV-MCHP,0.000135556039933,52.51839144097327
PEG-LYV,3.3095312637498607e-05,52.53698176963687
ICE-SYK,0.0003367145879959,52.59314847361953
INVH-ACN,0.0243244976410474,52.61136432056578
CBRE-LYV,0.0115018659180505,52.62556774523675
EQIX-ITW,8.125163551813991e-10,52.67531361911893
MSCI-KEYS,0.0032060467706549,52.686115694269496
DUK-ALLE,0.0017651656411453,52.687251006389545
TDY-STE,4.629236700131516e-05,52.720632070316185
RMD-TDY,1.7856533786124651e-06,52.74840681681286
EQIX-ROP,1.1896794900164476e-09,52.76546001744417
AJG-MPWR,4.432282409416238e-06,52.80388612264031
VICI-GPC,0.0392644384627177,52.836425333506156
GOOG-AIZ,0.0129758294240296,52.881399120469474
INVH-UNP,0.0121955001821008,52.975722120968044
HPE-NTAP,0.0075241998957516,53.01492836896086
HLT-PGR,0.0025184336073879,53.083963378490765
FFIV-FOX,0.0425266058154546,53.2012676649925
WDAY-COO,0.0108076233631611,53.20896955575024
VST-NRG,0.0115873019897712,53.242403800516215
APO-WSM,0.0063941565892954,53.3335176210174
V-ICE,7.95117397064896e-05,53.41378630940417
GOOG-DUK,0.0110565926337462,53.43304737959442
ABBV-MPWR,0.0025672005674785,53.68737306480073
APD-TTD,0.0106844456278879,53.746224826190826
TT-KKR,0.0010602114688057,53.75135618393867
MPWR-AMAT,5.88627028951093e-07,53.754263162257764
AAPL-TTD,0.0157335835876957,53.810698211021865
FICO-ANET,0.0008718113356109,53.85993009104798
V-VRSK,6.37227194880886e-05,53.86054183130366
NXPI-MAS,0.0080978869412144,53.898158980693395
TTD-TSCO,0.0151411469286808,53.9520069110344
MCO-WTW,3.6300685035677253e-07,53.96782258644858
POOL-DHR,0.0004840582896985,53.98132620660359
VICI-HOLX,0.0399259956799426,53.99817268737483
HCA-AMAT,0.0011201919413727,54.006178697978456
EPAM-NKE,0.0006026693777733,54.130991515923725
KHC-VRSN,0.0215104035842259,54.33040271422354
ECL-CPAY,0.0014308922235276,54.39314558980587
APO-ETN,0.0090504074257498,54.46078461322046
EPAM-TECH,1.6084541909658474e-05,54.55431560193534
ZTS-EXPD,0.0146773316749709,54.62623868230401
SRE-CDW,0.0050777023301085,54.68175840964876
VICI-ULTA,0.0420512061108081,54.7023996288823
APO-HLT,0.0034788852453654,54.7082289186628
KDP-NEE,0.0001560012989761,54.769476882482834
GOOGL-BX,0.0015602999366517,54.83632729895815
WSM-NWS,0.0054853114638808,54.904090409992435
IRM-ANET,0.0302788726414409,54.95094509505374
CTAS-MPWR,0.0010931748777219,54.95762651419952
ALL-CBOE,0.0299138156317676,54.97610822184397
TMO-DHR,1.1562096629160093e-07,55.04207297493005
HPE-TXT,0.010938165703024,55.04790357655631
TTD-EFX,0.013887481496544,55.10824730446094
WDAY-ROP,0.0067433587023378,55.12573891513332
LLY-ANET,0.0380772993088631,55.261104575381246
ABBV-ADI,0.0064178926338999,55.32345807464782
EMR-HLT,0.0033763137348221,55.35276636075074
MPWR-PANW,0.0220497632042272,55.36293053024272
CL-PANW,0.0077556712463241,55.40817910713123
JNJ-IQV,0.0130650522821317,55.41695712446509
IQV-IEX,0.0132208839652741,55.42907597326539
DUK-KEYS,0.0276732781901265,55.43847663240935
DTE-GL,4.028497777990047e-06,55.44474954251813
HCA-TSCO,0.0015629371840401,55.44808981278679
PH-APO,0.0005110627855799,55.490570800931884
NXPI-LH,0.028909267132029,55.52772474035024
ABBV-RJF,1.974885913514317e-05,55.55383565375652
ROST-ALLE,0.0074625155355014,55.571623402164626
CDW-NDSN,0.0019043142907415,55.575638027452925
STE-ACN,2.234116583147168e-05,55.65772065752951
NXPI-LOW,0.0162084114987845,55.6593317758388
BLK-CRWD,0.0366270810940649,55.748585835182865
TTD-ODFL,0.020314734054955,55.772033336879616
ABBV-STLD,0.0007539647027567,55.77905400815235
PYPL-KMX,0.007606368241594,55.850676025384885
EQIX-DPZ,5.564032736061375e-05,55.88502044552955
HD-ACN,0.0411847306171635,55.89671730952564
EQIX-ALLE,0.0070917948651977,55.901371638230415
CDW-AVY,0.0346741980615653,55.9079843727355
CCI-ES,1.9549936124629608e-05,55.97388369835018
APTV-CZR,0.0050308598926389,56.15052371823241
ZTS-IQV,0.0008254373963867,56.21857247098859
GOOGL-HCA,0.0001803835084931,56.21925166341707
MTD-INVH,0.0244003196238744,56.240576474942955
ANET-PGR,0.0012326946577573,56.29401648204842
ROP-TTD,0.0231717059417681,56.306158839385986
TTD-ROK,0.0371057323956432,56.31468025578136
HLT-CB,0.0213120259740065,56.32846191795676
A-KEYS,0.0345332018883916,56.332852241171686
CBOE-BKNG,0.0011906858426175,56.35405667132799
BRO-PANW,0.0255805770361453,56.54463670464663
MMC-HCA,0.0039521670079852,56.561569917703714
TDG-ANET,0.0070304715877021,56.586634249148695
GOOG-EMR,0.0056565735229481,56.72176343585161
NSC-KEYS,0.0063012245243897,56.83370730345051
SBAC-PAYC,0.0036668657713505,56.925828724901095
BR-ADI,0.0047177395547778,56.94090105933103
HCA-MLM,0.0005593329677661,56.982008003626476
IQV-NDSN,0.0042955305025503,57.03027790535313
MLM-MPWR,4.374391899235811e-06,57.04665868704665
CMG-MPWR,4.36606384350264e-05,57.07261843843165
